2018-07-21#2sa#14,28-33
2018-07-22#2sa#15,1-6
2018-07-23#2sa#15,7-12
2018-07-24#2sa#15,13-18
2018-07-25#2sa#15,19-23
2018-07-26#2sa#15,24-29
2018-07-27#2sa#15,30-37
2018-07-28#2sa#16,1-4
2018-07-29#2sa#16,5-14
2018-07-30#2sa#16,15-23
2018-07-31#2sa#17,1-7
2018-08-01#2sa#17,8-14
2018-08-02#2sa#17,15-22
2018-08-03#2sa#17,23-29
2018-08-04#2sa#18,1-8
2018-08-05#2sa#18,9-18
2018-08-06#2sa#18,19-25
2018-08-07#2sa#18,26-33
2018-08-08#2sa#19,1-8
2018-08-09#2sa#19,9-15
2018-08-10#2sa#19,16-23
2018-08-11#2sa#19,24-30
2018-08-12#2sa#19,31-36
2018-08-13#2sa#19,37-39
2018-08-14#2sa#19,40-43
2018-08-15#2sa#20,1-7
2018-08-16#2sa#20,8-14
2018-08-17#2sa#20,15-26
2018-08-18#2sa#21,1-7
2018-08-19#2sa#21,8-14
2018-08-20#2sa#21,15-22
2018-08-21#2sa#22,1-7
2018-08-22#2sa#22,8-16
2018-08-23#2sa#22,17-25
2018-08-24#2sa#22,26-30
2018-08-25#2sa#22,31-37
2018-08-26#2sa#22,38-44
2018-08-27#2sa#22,45-51
2018-08-28#2sa#23,1-7
2018-08-29#2sa#23,8-12
2018-08-30#2sa#23,13-17
2018-08-31#2sa#23,18-23
2018-09-01#2sa#23,24-39
2018-09-02#2sa#24,1-9
2018-09-03#2sa#24,10-17
2018-09-04#2sa#24,18-25
2018-09-05#est#1,1-9
2018-09-06#est#1,10-12
2018-09-07#est#1,13-18
2018-09-08#est#1,19-22
2018-09-09#est#2,1-4
2018-09-10#est#2,5-11
2018-09-11#est#2,12-16
2018-09-12#est#2,17-20
2018-09-13#est#2,21-23
2018-09-14#est#3,1-6
2018-09-15#est#3,7-11
2018-09-16#est#3,12-15
2018-09-17#est#4,1-6
2018-09-18#est#4,7-11
2018-09-19#est#4,12-17
2018-09-20#est#5,1-8
2018-09-21#est#5,9-14
2018-09-22#est#6,1-9
2018-09-23#est#6,10-14
2018-09-24#est#7,1-6
2018-09-25#est#7,7-10
2018-09-26#est#8,1-8
2018-09-27#est#8,9-14
2018-09-28#est#8,15-17
2018-09-29#est#9,1-10
2018-09-30#est#9,11-15
2018-10-01#est#9,16-22
2018-10-02#est#9,23-28
2018-10-03#est#9,29-32
2018-10-04#est#10
2018-10-05#psa#73,1-11
2018-10-06#psa#73,12-23
2018-10-07#psa#73,24-28
2018-10-08#psa#74,1-11
2018-10-09#psa#74,12-18
2018-10-10#psa#74,19-23
2018-10-11#psa#75,1-6
2018-10-12#psa#75,7-11
2018-10-13#psa#76,1-8
2018-10-14#psa#76,9-13
2018-10-15#psa#77,1-11
2018-10-16#psa#77,12-16
2018-10-17#psa#77,17-21
2018-10-18#psa#78,1-8
2018-10-19#psa#78,9-16
2018-10-20#psa#78,17-25
2018-10-21#psa#78,26-33
2018-10-22#psa#78,34-39
2018-10-23#psa#78,40-50
2018-10-24#psa#78,51-58
2018-10-25#psa#78,59-72
2018-10-26#psa#79,1-9
2018-10-27#psa#79,10-13
2018-10-28#psa#80,1-8
2018-10-29#psa#80,9-20
2018-10-30#psa#81,1-10
2018-10-31#psa#81,11-17
2018-11-01#psa#82
2018-11-02#psa#83,1-13
2018-11-03#psa#83,14-19
2018-11-04#psa#84,1-5
2018-11-05#psa#84,6-13
2018-11-06#psa#85,1-8
2018-11-07#psa#85,9-14
2018-11-08#psa#86,1-10
2018-11-09#psa#86,11-17
2018-11-10#psa#87
2018-11-11#psa#88,1-8
2018-11-12#psa#88,9-19
2018-11-13#psa#89,1-8
2018-11-14#psa#89,9-15
2018-11-15#psa#89,16-22
2018-11-16#psa#89,23-29
2018-11-17#psa#89,30-38
2018-11-18#psa#89,39-48
2018-11-19#psa#89,49-53
2018-11-20#jon#1,1-6
2018-11-21#jon#1,7-10
2018-11-22#jon#1,11-16
2018-11-23#jon#2,1-5
2018-11-24#jon#2,6-11
2018-11-25#jon#3,1-5
2018-11-26#jon#3,6-10
2018-11-27#jon#4,1-5
2018-11-28#jon#4,6-11
2018-11-29#hag#1,1-5
2018-11-30#hag#1,6-8
2018-12-01#hag#1,9-12
2018-12-02#hag#1,1-153
2018-12-03#hag#2,1-5
2018-12-04#hag#2,6-9
2018-12-05#hag#2,10-15
2018-12-06#hag#2,16-19
2018-12-07#hag#2,20-22
2018-12-08#psa#90,1-7
2018-12-09#psa#90,8-12
2018-12-10#psa#90,13-17
2018-12-11#psa#91,1-10
2018-12-12#psa#91,11-16
2018-12-13#psa#92,1-9
2018-12-14#psa#92,10-16
2018-12-15#psa#93
2018-12-16#psa#94,1-11
2018-12-17#psa#94,12-18
2018-12-18#psa#94,19-23
2018-12-19#psa#95
2018-12-20#psa#96,1-7
2018-12-21#psa#96,8-13
2018-12-22#psa#97
2018-12-23#psa#98
2018-12-24#psa#99
2018-12-25#psa#100
2018-12-26#psa#101
2018-12-27#psa#102,1-13
2018-12-28#psa#102,14-23
2018-12-29#psa#102,24-29
2018-12-30#psa#103,1-12
2018-12-31#psa#103,13-22
